index,Gênero,Idoso,Parceiro,Dependentes,Fidelidade,Churn,Internet,Segurança Online,Backup Online,Proteção no Dispositivo,Suporte Técnico,TV a Cabo,Streaming de Filmes,Serviço Telefônico,Diversas Linhas de Telefone,Contrato,Fatura Online,Método de Pagamento,Despesa Mensal,Despesa Total,Gasto Diário
1272,Male,0,Sim,Não,45,Não,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Bank transfer (automatic),107.75,4882.8,3.54
1273,Female,1,Não,Não,1,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Débito eletrônico,74.2,74.2,1.24
1274,Female,0,Sim,Sim,52,Não,DSL,Não,Não,Sim,Não,Não,Não,Sim,Não,Um ano,Sim,Bank transfer (automatic),50.95,2610.65,1.64
1275,Male,0,Sim,Sim,24,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Não,Pagamento físico,20.25,439.75,0.59
1276,Female,0,Não,Não,70,Não,DSL,Sim,Não,Sim,Sim,Sim,Sim,Não,Sem serviço telefônico,Dois anos,Sim,Bank transfer (automatic),58.35,4214.25,1.98
1277,Female,0,Sim,Sim,39,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Sim,Bank transfer (automatic),19.85,854.8,0.71
1278,Male,0,Não,Não,42,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Um ano,Não,Débito eletrônico,25.05,949.85,0.74
1279,Male,0,Não,Não,20,Não,DSL,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Um ano,Sim,Débito eletrônico,68.7,1416.2,2.25
1280,Male,0,Sim,Não,72,Não,Fibra ótica,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Credit card (automatic),109.95,7852.4,3.59
1281,Male,0,Sim,Sim,50,Sim,Fibra ótica,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Não,Débito eletrônico,103.7,5071.05,3.31
1282,Female,0,Sim,Sim,13,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Não,Pagamento físico,20.85,272.35,0.65
1283,Female,1,Sim,Sim,22,Não,Fibra ótica,Não,Não,Não,Não,Sim,Não,Sim,Sim,Mensal,Não,Bank transfer (automatic),85.35,1961.6,2.84
1284,Male,0,Não,Não,1,Não,DSL,Não,Sim,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Pagamento físico,50.15,50.15,0.84
1285,Female,1,Não,Não,1,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,70.15,70.15,1.17
1286,Female,0,Sim,Não,7,Não,DSL,Sim,Não,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Bank transfer (automatic),50.3,355.1,1.48
1287,Female,0,Não,Não,8,Não,DSL,Sim,Não,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,Débito eletrônico,60.0,487.75,1.81
1288,Male,0,Não,Sim,8,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Pagamento físico,20.35,178.7,0.66
1289,Male,0,Sim,Sim,64,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Dois anos,Sim,Pagamento físico,24.8,1514.85,0.78
1290,Male,0,Não,Não,22,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Mensal,Não,Pagamento físico,65.05,1427.55,2.07
1291,Female,0,Não,Não,26,Não,DSL,Não,Não,Sim,Não,Sim,Sim,Não,Sem serviço telefônico,Mensal,Sim,Credit card (automatic),50.35,1277.5,1.58
1292,Male,0,Sim,Sim,1,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,70.0,70.0,1.17
1293,Male,0,Sim,Não,31,Não,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Um ano,Sim,Débito eletrônico,93.8,2939.8,3.06
1294,Female,1,Não,Não,4,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Pagamento físico,20.05,91.45,0.61
1295,Female,0,Sim,Sim,48,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Não,Bank transfer (automatic),20.65,1057.0,0.72
1296,Female,1,Sim,Não,40,Sim,DSL,Não,Sim,Não,Não,Sim,Não,Não,Sem serviço telefônico,Mensal,Sim,Débito eletrônico,39.3,1637.4,1.33
1297,Female,0,Sim,Não,71,Não,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sem serviço telefônico,Um ano,Não,Bank transfer (automatic),66.8,4689.15,2.17
1298,Female,0,Não,Não,36,Não,DSL,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Um ano,Sim,Pagamento físico,75.55,2680.15,2.41
1299,Male,0,Sim,Sim,1,Não,Fibra ótica,Não,Sim,Não,Não,Não,Não,Sim,Não,Mensal,Não,Credit card (automatic),74.6,74.6,1.24
1300,Male,1,Não,Não,41,Sim,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,98.4,4187.75,3.32
1301,Male,0,Não,Não,21,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Credit card (automatic),20.5,402.85,0.61
1302,Male,0,Sim,Sim,11,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Débito eletrônico,74.35,834.2,2.32
1304,Female,0,Não,Não,58,Não,Fibra ótica,Sim,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Bank transfer (automatic),79.8,4526.85,2.56
1305,Male,0,Sim,Não,12,Sim,Fibra ótica,Sim,Não,Não,Sim,Não,Não,Sim,Não,Mensal,Não,Bank transfer (automatic),80.85,866.45,2.22
1306,Female,0,Não,Não,29,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Não,Pagamento físico,20.35,617.35,0.69
1307,Female,0,Sim,Não,2,Sim,Fibra ótica,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,104.4,242.8,2.7
1308,Female,0,Não,Não,11,Não,DSL,Sim,Não,Não,Sim,Não,Não,Sim,Não,Um ano,Sim,Pagamento físico,54.6,617.85,1.72
1309,Male,1,Sim,Não,69,Sim,Fibra ótica,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Débito eletrônico,89.95,6143.15,2.93
1310,Male,1,Sim,Sim,64,Não,Fibra ótica,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Bank transfer (automatic),111.6,7099.0,3.64
1311,Female,1,Sim,Não,20,Sim,Fibra ótica,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Mensal,Não,Débito eletrônico,90.8,1951.0,3.1
1312,Female,0,Não,Não,22,Sim,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Sim,Não,Mensal,Não,Débito eletrônico,89.25,1907.85,2.76
1313,Female,0,Não,Não,1,Não,DSL,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Não,Credit card (automatic),43.95,43.95,0.73
1314,Female,0,Sim,Sim,64,Não,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Pagamento físico,90.6,5817.45,2.98
1315,Female,0,Sim,Sim,39,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Um ano,Sim,Pagamento físico,24.2,914.6,0.76
1316,Female,0,Não,Não,39,Não,DSL,Não,Sim,Não,Não,Sim,Não,Sim,Não,Um ano,Sim,Credit card (automatic),58.6,2224.5,1.85
1317,Male,0,Não,Não,48,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Um ano,Sim,Credit card (automatic),106.1,5082.8,3.46
1318,Male,0,Não,Sim,22,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Mensal,Sim,Débito eletrônico,89.4,2001.5,2.9
1319,Female,0,Sim,Sim,24,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Dois anos,Não,Débito eletrônico,64.35,1558.65,2.08
1320,Female,0,Não,Não,1,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Pagamento físico,19.5,19.5,0.32
1321,Male,1,Não,Não,10,Sim,Fibra ótica,Não,Sim,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,72.85,688.65,2.09
1322,Male,0,Não,Não,8,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,66.7,579.0,2.14
1323,Female,0,Sim,Não,36,Não,Fibra ótica,Não,Não,Não,Não,Não,Sim,Sim,Não,Mensal,Não,Débito eletrônico,80.4,2937.65,2.65
1324,Female,0,Não,Não,1,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Não,Débito eletrônico,70.5,70.5,1.18
1325,Female,0,Não,Sim,16,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Sim,Bank transfer (automatic),19.3,360.35,0.71
1326,Female,0,Não,Não,13,Sim,Fibra ótica,Não,Sim,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,79.25,1111.65,2.65
1327,Male,0,Sim,Sim,7,Não,DSL,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Não,Débito eletrônico,44.75,333.65,1.39
1328,Female,0,Não,Não,41,Não,DSL,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Um ano,Sim,Débito eletrônico,68.6,2877.05,2.28
1329,Female,0,Não,Não,5,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Credit card (automatic),20.55,96.1,0.53
1330,Male,1,Não,Não,55,Não,DSL,Não,Não,Sim,Não,Sim,Sim,Não,Sem serviço telefônico,Um ano,Sim,Bank transfer (automatic),50.05,2743.45,1.63
1331,Female,0,Sim,Não,7,Sim,Fibra ótica,Não,Não,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Débito eletrônico,86.5,582.5,2.43
1332,Female,0,Sim,Não,72,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Dois anos,Sim,Bank transfer (automatic),25.25,1841.2,0.84
1333,Female,0,Sim,Não,72,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Não,Credit card (automatic),20.5,1502.25,0.69
1334,Male,0,Não,Não,1,Não,DSL,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Mensal,Não,Débito eletrônico,61.15,61.15,1.02
1335,Male,0,Sim,Sim,47,Não,DSL,Sim,Não,Sim,Sim,Não,Não,Não,Sem serviço telefônico,Um ano,Não,Débito eletrônico,40.3,1794.8,1.25
1336,Male,0,Não,Não,21,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Sim,Pagamento físico,20.35,422.7,0.64
1337,Male,0,Sim,Sim,68,Não,Fibra ótica,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Dois anos,Não,Bank transfer (automatic),95.1,6683.4,3.23
1338,Male,0,Sim,Sim,58,Não,Fibra ótica,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,92.85,5305.05,3.0
1339,Male,1,Sim,Não,33,Não,Fibra ótica,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Bank transfer (automatic),100.6,3270.25,3.21
1340,Male,0,Sim,Sim,33,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Não,Credit card (automatic),20.1,620.55,0.61
1341,Male,0,Não,Não,1,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Pagamento físico,20.15,20.15,0.34
1342,Male,0,Sim,Não,56,Não,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Sim,Não,Mensal,Não,Pagamento físico,89.7,4952.95,2.9
1343,Male,0,Sim,Não,49,Não,DSL,Não,Sim,Não,Não,Sim,Sim,Não,Sem serviço telefônico,Dois anos,Não,Credit card (automatic),49.65,2409.9,1.61
1344,Female,0,Não,Não,68,Não,Fibra ótica,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Credit card (automatic),110.25,7279.35,3.52
1345,Female,0,Sim,Não,72,Não,Fibra ótica,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Dois anos,Sim,Bank transfer (automatic),98.2,7015.9,3.2
1346,Male,0,Sim,Sim,1,Não,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,90.1,90.1,1.5
1347,Male,0,Não,Não,1,Não,DSL,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Não,Débito eletrônico,44.0,44.0,0.73
1348,Female,0,Sim,Não,67,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Não,Pagamento físico,19.65,1335.2,0.65
1349,Female,0,Sim,Não,45,Não,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Não,Pagamento físico,113.3,5032.25,3.65
1350,Male,0,Sim,Sim,72,Não,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Credit card (automatic),90.6,6441.85,2.94
1351,Female,0,Sim,Não,10,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Não,Pagamento físico,20.1,184.4,0.56
1352,Male,0,Não,Não,59,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Sim,Bank transfer (automatic),20.2,1192.3,0.66
1353,Male,0,Sim,Sim,22,Não,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Um ano,Sim,Pagamento físico,100.05,2090.25,3.03
1354,Male,0,Sim,Não,30,Não,DSL,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Não,Débito eletrônico,49.9,1441.95,1.55
1355,Male,0,Sim,Sim,52,Não,DSL,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Dois anos,Não,Débito eletrônico,79.2,4016.3,2.53
1356,Male,0,Não,Não,10,Não,Fibra ótica,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,95.25,1021.55,3.1
1357,Male,0,Não,Não,1,Sim,DSL,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Não,Débito eletrônico,45.3,45.3,0.76
1358,Female,0,Não,Não,1,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Pagamento físico,20.4,20.4,0.34
1359,Male,0,Não,Não,20,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Sim,Pagamento físico,19.7,415.9,0.66
1360,Female,1,Não,Não,14,Sim,Fibra ótica,Não,Sim,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Débito eletrônico,78.95,1101.85,2.45
1361,Male,0,Não,Não,16,Sim,Fibra ótica,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Mensal,Sim,Credit card (automatic),89.05,1448.6,2.84
1362,Female,0,Não,Não,35,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Dois anos,Não,Bank transfer (automatic),23.3,797.1,0.74
1363,Female,0,Sim,Não,72,Não,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Bank transfer (automatic),90.95,6468.6,2.95
1365,Female,0,Sim,Não,65,Não,DSL,Não,Não,Não,Sim,Sim,Não,Sim,Não,Dois anos,Sim,Credit card (automatic),59.8,3808.2,1.92
1367,Male,0,Sim,Não,7,Não,DSL,Sim,Sim,Não,Não,Não,Não,Não,Sem serviço telefônico,Mensal,Não,Pagamento físico,34.2,256.6,1.07
1368,Female,1,Sim,Não,1,Sim,DSL,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Não,Débito eletrônico,46.0,46.0,0.77
1369,Female,1,Não,Não,1,Sim,Fibra ótica,Não,Sim,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,73.0,73.0,1.22
1370,Female,1,Não,Não,3,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Credit card (automatic),75.05,256.25,2.14
1371,Female,0,Não,Não,2,Sim,Fibra ótica,Não,Não,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,Débito eletrônico,79.75,164.5,1.83
1372,Female,0,Sim,Sim,23,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Dois anos,Sim,Credit card (automatic),25.6,514.75,0.71
1373,Female,0,Sim,Não,70,Sim,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Débito eletrônico,109.5,7674.55,3.6
1374,Female,0,Não,Não,29,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Mensal,Não,Débito eletrônico,25.15,702.0,0.78
1375,Female,0,Não,Não,43,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Sim,Bank transfer (automatic),19.65,779.25,0.59
1376,Male,1,Não,Não,18,Não,DSL,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Credit card (automatic),58.4,964.9,1.69
1377,Female,0,Sim,Não,71,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Dois anos,Não,Credit card (automatic),25.05,1873.7,0.87
1378,Male,1,Sim,Não,27,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Débito eletrônico,75.5,1893.95,2.25
1379,Female,0,Não,Não,9,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Pagamento físico,19.05,157.65,0.53
1380,Female,1,Sim,Não,48,Não,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Bank transfer (automatic),70.65,3545.05,2.41
1381,Female,0,Não,Não,27,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Não,Pagamento físico,19.15,501.35,0.6
1382,Female,1,Sim,Não,70,Não,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Bank transfer (automatic),92.2,6474.45,3.04
1383,Female,0,Não,Não,58,Não,Fibra ótica,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Um ano,Sim,Débito eletrônico,107.75,6332.75,3.58
1384,Female,0,Não,Não,60,Não,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Dois anos,Não,Débito eletrônico,104.7,6333.8,3.46
1385,Male,0,Não,Não,46,Não,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Débito eletrônico,108.65,4903.2,3.48
1386,Female,0,Não,Não,1,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Pagamento físico,20.5,20.5,0.34
1387,Male,0,Não,Não,66,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Mensal,Não,Débito eletrônico,99.5,6710.5,3.34
1388,Female,0,Não,Não,1,Sim,Fibra ótica,Não,Não,Não,Não,Não,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,81.95,81.95,1.37
1389,Female,0,Sim,Sim,8,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Não,Pagamento físico,19.05,201.7,0.75
1390,Female,0,Sim,Sim,68,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Sim,Bank transfer (automatic),19.35,1292.65,0.62
1391,Male,0,Não,Não,18,Sim,DSL,Não,Sim,Sim,Não,Não,Não,Não,Sem serviço telefônico,Mensal,Sim,Credit card (automatic),33.5,600.0,1.05
1392,Female,1,Sim,Não,11,Sim,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,99.55,1131.2,3.14
1393,Female,0,Não,Não,1,Sim,Fibra ótica,Não,Sim,Não,Não,Sim,Não,Sim,Não,Mensal,Não,Débito eletrônico,84.3,84.3,1.4
1394,Female,0,Não,Não,46,Não,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Um ano,Sim,Débito eletrônico,101.1,4674.4,3.32
1395,Female,0,Não,Não,8,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Não,Pagamento físico,20.0,141.6,0.52
1396,Male,0,Sim,Sim,9,Não,Fibra ótica,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Mensal,Não,Débito eletrônico,103.1,970.45,3.23
1397,Male,0,Sim,Sim,1,Não,Fibra ótica,Não,Não,Não,Não,Não,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,81.05,81.05,1.35
1398,Male,0,Sim,Não,63,Não,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Dois anos,Não,Débito eletrônico,102.6,6296.75,3.28
1399,Male,0,Não,Não,18,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Débito eletrônico,19.0,348.8,0.61
1400,Female,0,Não,Não,1,Sim,Fibra ótica,Não,Não,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Pagamento físico,74.6,74.6,1.24
1401,Male,0,Não,Não,13,Sim,Fibra ótica,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Pagamento físico,99.0,1301.7,3.1
1402,Female,0,Não,Não,7,Sim,Fibra ótica,Não,Não,Não,Não,Não,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,79.3,523.15,2.18
1403,Male,0,Sim,Sim,18,Não,Fibra ótica,Não,Não,Não,Sim,Não,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,85.6,1601.5,2.81
1404,Male,0,Sim,Sim,37,Não,DSL,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Um ano,Sim,Pagamento físico,58.75,2203.1,1.93
1405,Male,0,Não,Não,12,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,106.7,1253.9,3.22
1406,Female,0,Não,Não,43,Sim,DSL,Não,Não,Sim,Não,Sim,Sim,Não,Sem serviço telefônico,Mensal,Sim,Bank transfer (automatic),49.05,2076.2,1.57
1407,Female,0,Sim,Não,63,Não,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,108.75,6871.7,3.58
1408,Male,0,Sim,Sim,6,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Sim,Credit card (automatic),20.4,107.6,0.51
1409,Male,1,Não,Não,24,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Credit card (automatic),102.95,2496.7,3.33
1410,Female,0,Não,Não,2,Sim,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,90.4,168.2,1.87
1411,Male,0,Sim,Sim,38,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Mensal,Sim,Débito eletrônico,94.65,3624.3,3.1
1412,Male,0,Sim,Não,33,Sim,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Um ano,Sim,Débito eletrônico,95.8,3036.75,2.98
1413,Female,0,Não,Não,48,Não,Fibra ótica,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,103.85,4946.05,3.36
1414,Male,0,Não,Não,4,Não,Fibra ótica,Não,Não,Sim,Não,Não,Sim,Sim,Não,Mensal,Não,Débito eletrônico,86.05,308.1,2.05
1415,Female,0,Não,Não,29,Não,DSL,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Mensal,Não,Pagamento físico,67.45,1801.1,2.0
1416,Male,0,Não,Não,27,Não,DSL,Sim,Sim,Não,Não,Não,Não,Sim,Não,Um ano,Não,Bank transfer (automatic),55.45,1477.65,1.76
1417,Male,0,Sim,Sim,65,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Bank transfer (automatic),84.2,5324.5,2.69
1418,Male,0,Não,Não,31,Não,Fibra ótica,Não,Não,Não,Sim,Não,Não,Sim,Sim,Um ano,Não,Credit card (automatic),81.7,2548.65,2.65
1419,Female,0,Sim,Não,49,Não,Fibra ótica,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Pagamento físico,100.85,4847.35,3.23
1420,Male,0,Sim,Sim,72,Não,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Bank transfer (automatic),114.45,8100.55,3.7
1421,Female,0,Não,Não,5,Não,DSL,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,64.0,370.25,2.06
1422,Male,0,Sim,Não,1,Não,DSL,Sim,Não,Sim,Não,Não,Não,Sim,Não,Mensal,Não,Pagamento físico,55.7,55.7,0.93
1423,Female,1,Não,Não,33,Não,DSL,Sim,Sim,Sim,Não,Sim,Sim,Não,Sem serviço telefônico,Mensal,Sim,Bank transfer (automatic),59.45,1884.65,1.85
1424,Female,0,Não,Não,1,Não,DSL,Não,Não,Sim,Sim,Não,Não,Não,Sem serviço telefônico,Mensal,Não,Pagamento físico,35.9,35.9,0.6
1425,Female,0,Sim,Sim,65,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Dois anos,Não,Credit card (automatic),26.0,1654.85,0.84
1426,Female,0,Não,Não,60,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Não,Credit card (automatic),80.55,4847.05,2.65
1427,Male,1,Sim,Não,63,Não,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Um ano,Sim,Bank transfer (automatic),84.0,5329.55,2.78
1428,Female,1,Não,Não,3,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,70.4,204.7,1.71
1429,Female,1,Sim,Não,55,Não,DSL,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Não,Bank transfer (automatic),51.65,2838.55,1.69
1430,Male,0,Sim,Sim,68,Não,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Um ano,Não,Credit card (automatic),105.75,7322.5,3.54
